0.00 1 0.0  0 0
0.10 1 0.0  40 0
0.20 2 130.0  3060 0
0.30 4 130.0  3060 0
0.40 8 131.0  9100 0
0.50 8 131.0  21180 0
0.60 16 133.0  33260 0
0.70 32 137.0  45340 0
0.80 43 136.0  93660 0
0.90 64 146.0  152550 0
1.00 128 166.0  203890 0
1.10 166 155.0  324690 2.3613818181818185
1.20 1 186.0  324690 2.3613818181818185
1.30 1 186.0  327710 2.3613818181818185
1.40 2 186.0  327710 2.3613818181818185
1.50 3 179.0  330730 2.3613818181818185
1.60 3 179.0  336770 2.3613818181818185
1.70 5 168.0  345830 2.3613818181818185
1.80 8 157.0  345830 2.3613818181818185
1.90 13 145.0  360930 2.3613818181818185
2.00 13 145.0  382070 2.3613818181818185
2.10 20 139.0  418310 2.3613818181818185
2.20 21 138.0  418310 0.68087272727272741
2.30 32 145.0  454550 0.68087272727272741
2.40 33 146.0  505890 0.68087272727272741
2.50 50 141.0  539110 0.68087272727272741
2.60 75 146.0  581390 0.68087272727272741
2.70 88 139.0  696150 0.68087272727272741
2.80 108.167 159.0  749000 0.68087272727272741
2.90 108.757 176.0  827520 0.68087272727272741
3.00 1 186.0  827520 0.68087272727272741
3.10 1 186.0  830540 0.68087272727272741
3.20 2 187.0  993620 0.68087272727272741
3.30 3 180.0  993620 4.1840727272727278
3.40 7 160.0  999660 4.1840727272727278
3.50 7 160.0  1010230 4.1840727272727278
3.60 14 144.00000000000003  1031370 4.1840727272727278
3.70 28 138.0  1031370 4.1840727272727278
3.80 48 140.0  1073650 4.1840727272727278
3.90 54.037 144.00000000000003  1146130 4.1840727272727278
4.00 55.0274 159.0  1188410 4.1840727272727278
4.10 55.9288 131.0  1238240 4.1840727272727278
4.20 56.4628 131.0  1322800 4.1840727272727278
4.30 57.0092 132.0  1401320 4.1840727272727278
4.40 58.0006 132.0  1448130 3.3055272727272733
4.50 58.9414 131.0  1496450 3.3055272727272733
4.60 59.4819 131.0  1584030 3.3055272727272733
4.70 60.0175 132.0  1670100 3.3055272727272733
4.80 60.9436 133.0  1719930 3.3055272727272733
